,Model Name,Model Type,Shorthand,Iteration,Mean Square Error (Test),Root MSE (Test),R2 Score (Test),Training Time,Target Variable,Mean Square Error (Train),Root MSE (Train),R2 Score (Train),Mean Square Error (Validate),Root MSE (Validate),R2 Score (Validate)
0,Radial Basis Function,Neural Network,RBF,12,0.0058,0.0759,0.5254,34.646,Latitude,0.05838628485798836,0.5264115929603577,0.24163253605365753,0.05857668071985245,0.5233601331710815,0.2420261949300766
0,Radial Basis Function,Neural Network,RBF,12,0.0066,0.0814,0.4024,48.5891,Longitude,0.10122963041067123,0.40170490741729736,0.318166047334671,0.10399815440177917,0.38545745611190796,0.3224874436855316
0,Radial Basis Function,Neural Network,RBF,13,0.0057,0.0754,0.5307,48.7936,Latitude,0.05791638046503067,0.5302233695983887,0.2406582236289978,0.06046658381819725,0.5079820156097412,0.24589954316616058
0,Radial Basis Function,Neural Network,RBF,13,0.0066,0.0814,0.4016,28.1241,Longitude,0.10159846395254135,0.39952558279037476,0.31874513626098633,0.10255121439695358,0.3940076231956482,0.3202361762523651
0,Radial Basis Function,Neural Network,RBF,14,0.0056,0.0751,0.5342,34.8464,Latitude,0.05804791674017906,0.5291562080383301,0.24093134701251984,0.05845285579562187,0.5243676900863647,0.24177025258541107
0,Radial Basis Function,Neural Network,RBF,14,0.0065,0.0807,0.4126,70.0185,Longitude,0.10052148997783661,0.40588992834091187,0.3170512318611145,0.09946978837251663,0.41221630573272705,0.3153883218765259
0,Radial Basis Function,Neural Network,RBF,15,0.0056,0.0749,0.5369,41.7666,Latitude,0.058377545326948166,0.526482105255127,0.2416144609451294,0.058861833065748215,0.5210398435592651,0.24261458218097687
0,Radial Basis Function,Neural Network,RBF,15,0.0064,0.0803,0.4186,69.1162,Longitude,0.09992267936468124,0.4094299077987671,0.3161054849624634,0.10372398793697357,0.3870775103569031,0.32206207513809204
0,Radial Basis Function,Neural Network,RBF,16,0.0057,0.0754,0.5315,41.5712,Latitude,0.05837937816977501,0.5264674425125122,0.24161824584007263,0.05786574259400368,0.5291450619697571,0.24055299162864685
0,Radial Basis Function,Neural Network,RBF,16,0.0065,0.0808,0.4106,27.9238,Longitude,0.10060567408800125,0.405392587184906,0.3171839714050293,0.10036298632621765,0.40693825483322144,0.31680119037628174
0,Radial Basis Function,Neural Network,RBF,17,0.0056,0.0751,0.5348,34.7959,Latitude,0.05817762762308121,0.5281037092208862,0.24120038747787476,0.05803009122610092,0.5278077721595764,0.2408943623304367
0,Radial Basis Function,Neural Network,RBF,17,0.0064,0.0802,0.4191,55.4471,Longitude,0.09983016550540924,0.40997642278671265,0.3159591257572174,0.0981922298669815,0.4197656512260437,0.3133563995361328
0,Radial Basis Function,Neural Network,RBF,18,0.0057,0.0752,0.5333,48.9793,Latitude,0.05824946612119675,0.5275214910507202,0.2413492649793625,0.06060593202710152,0.5068480968475342,0.24618272483348846
0,Radial Basis Function,Neural Network,RBF,18,0.0065,0.0805,0.4154,69.7222,Longitude,0.09945280849933624,0.4122059941291809,0.3153613805770874,0.10459665209054947,0.38192081451416016,0.32341405749320984
0,Radial Basis Function,Neural Network,RBF,19,0.0057,0.0754,0.5307,41.6771,Latitude,0.05832337588071823,0.5269216299057007,0.2415023297071457,0.05895038694143295,0.5203192830085754,0.24279700219631195
0,Radial Basis Function,Neural Network,RBF,19,0.0065,0.0805,0.4158,27.9885,Longitude,0.09991760551929474,0.40945976972579956,0.3160974681377411,0.10106413066387177,0.40279507637023926,0.31790584325790405
0,Radial Basis Function,Neural Network,RBF,20,0.0057,0.0753,0.5326,34.803,Latitude,0.05825008079409599,0.5275155305862427,0.24135053157806396,0.057586558163166046,0.5314167737960815,0.23997199535369873
0,Radial Basis Function,Neural Network,RBF,20,0.0065,0.0803,0.4178,55.4007,Longitude,0.09951784461736679,0.4118219017982483,0.31546449661254883,0.10742170363664627,0.3652271032333374,0.3277525007724762
0,Radial Basis Function,Neural Network,RBF,21,0.0058,0.0759,0.5244,27.6614,Latitude,0.0584808774292469,0.5256444215774536,0.24182820320129395,0.05948503315448761,0.5159688591957092,0.2438955307006836
0,Radial Basis Function,Neural Network,RBF,21,0.0064,0.0803,0.4181,27.908,Longitude,0.09964217245578766,0.4110872745513916,0.3156614899635315,0.09988667070865631,0.40975290536880493,0.3160485327243805
0,Radial Basis Function,Neural Network,RBF,22,0.0057,0.0754,0.5308,55.387,Latitude,0.05798912048339844,0.5296335220336914,0.24080930650234222,0.06048329174518585,0.5078459978103638,0.24593351781368256
0,Radial Basis Function,Neural Network,RBF,22,0.0065,0.0809,0.4096,34.812,Longitude,0.09990546107292175,0.4095311164855957,0.316078245639801,0.1090325266122818,0.3557084798812866,0.330200731754303
0,Radial Basis Function,Neural Network,RBF,23,0.0056,0.075,0.5358,27.8557,Latitude,0.05812699347734451,0.5285143852233887,0.2410954087972641,0.05791858956217766,0.5287150144577026,0.2406628131866455
0,Radial Basis Function,Neural Network,RBF,23,0.0064,0.0801,0.421,69.9204,Longitude,0.09922996163368225,0.41352301836013794,0.31500786542892456,0.09896846115589142,0.41517871618270874,0.31459254026412964
0,Radial Basis Function,Neural Network,RBF,24,0.0056,0.0748,0.5383,48.8126,Latitude,0.058189455419778824,0.5280076265335083,0.24122489988803864,0.059732116758823395,0.5139583349227905,0.24440154433250427
0,Radial Basis Function,Neural Network,RBF,24,0.0065,0.0807,0.4118,28.0035,Longitude,0.09958944469690323,0.411399245262146,0.3155779540538788,0.1110062301158905,0.34404557943344116,0.33317598700523376
0,MLR,Traditional,,0,1149.2467,33.9005,-9357.5436,1.0262,Latitude,,,,,,
0,MLR,Traditional,,1,1149.2467,33.9005,-9357.5436,0.9845,Latitude,,,,,,
0,MLR,Traditional,,2,1149.2467,33.9005,-9357.5436,0.9496,Latitude,,,,,,
0,MLR,Traditional,,3,1149.2467,33.9005,-9357.5436,0.9405,Latitude,,,,,,
0,MLR,Traditional,,4,1149.2467,33.9005,-9357.5436,0.9402,Latitude,,,,,,
0,MLR,Traditional,,5,1149.2467,33.9005,-9357.5436,0.9359,Latitude,,,,,,
0,MLR,Traditional,,6,1149.2467,33.9005,-9357.5436,0.9797,Latitude,,,,,,
0,MLR,Traditional,,7,1149.2467,33.9005,-9357.5436,0.9389,Latitude,,,,,,
0,MLR,Traditional,,8,1149.2467,33.9005,-9357.5436,0.9577,Latitude,,,,,,
0,MLR,Traditional,,9,1149.2467,33.9005,-9357.5436,0.9273,Latitude,,,,,,
0,MLR,Traditional,,10,1149.2467,33.9005,-9357.5436,0.9219,Latitude,,,,,,
0,MLR,Traditional,,11,1149.2467,33.9005,-9357.5436,0.9306,Latitude,,,,,,
0,MLR,Traditional,,12,1149.2467,33.9005,-9357.5436,0.9576,Latitude,,,,,,
0,MLR,Traditional,,13,1149.2467,33.9005,-9357.5436,0.9332,Latitude,,,,,,
0,MLR,Traditional,,14,1149.2467,33.9005,-9357.5436,0.9918,Latitude,,,,,,
0,MLR,Traditional,,15,1149.2467,33.9005,-9357.5436,0.9189,Latitude,,,,,,
0,MLR,Traditional,,16,1149.2467,33.9005,-9357.5436,0.9458,Latitude,,,,,,
0,MLR,Traditional,,17,1149.2467,33.9005,-9357.5436,0.9166,Latitude,,,,,,
0,MLR,Traditional,,18,1149.2467,33.9005,-9357.5436,0.905,Latitude,,,,,,
0,MLR,Traditional,,19,1149.2467,33.9005,-9357.5436,0.9203,Latitude,,,,,,
0,MLR,Traditional,,20,1149.2467,33.9005,-9357.5436,0.9274,Latitude,,,,,,
0,MLR,Traditional,,21,1149.2467,33.9005,-9357.5436,0.9337,Latitude,,,,,,
0,MLR,Traditional,,22,1149.2467,33.9005,-9357.5436,0.9171,Latitude,,,,,,
0,MLR,Traditional,,23,1149.2467,33.9005,-9357.5436,0.9189,Latitude,,,,,,
0,MLR,Traditional,,24,1149.2467,33.9005,-9357.5436,0.9186,Latitude,,,,,,
0,MLR,Traditional,,0,14058.6473,118.5692,-83206.2888,0.9225,Longitude,,,,,,
0,MLR,Traditional,,1,14058.6473,118.5692,-83206.2888,0.9156,Longitude,,,,,,
0,MLR,Traditional,,2,14058.6473,118.5692,-83206.2888,0.9215,Longitude,,,,,,
0,MLR,Traditional,,3,14058.6473,118.5692,-83206.2888,0.9391,Longitude,,,,,,
0,MLR,Traditional,,4,14058.6473,118.5692,-83206.2888,0.9187,Longitude,,,,,,
0,MLR,Traditional,,5,14058.6473,118.5692,-83206.2888,0.9221,Longitude,,,,,,
0,MLR,Traditional,,6,14058.6473,118.5692,-83206.2888,0.9422,Longitude,,,,,,
0,MLR,Traditional,,7,14058.6473,118.5692,-83206.2888,0.9343,Longitude,,,,,,
0,MLR,Traditional,,8,14058.6473,118.5692,-83206.2888,0.957,Longitude,,,,,,
0,MLR,Traditional,,9,14058.6473,118.5692,-83206.2888,0.9332,Longitude,,,,,,
0,MLR,Traditional,,10,14058.6473,118.5692,-83206.2888,0.9266,Longitude,,,,,,
0,MLR,Traditional,,11,14058.6473,118.5692,-83206.2888,0.9257,Longitude,,,,,,
0,MLR,Traditional,,12,14058.6473,118.5692,-83206.2888,0.9419,Longitude,,,,,,
0,MLR,Traditional,,13,14058.6473,118.5692,-83206.2888,0.9309,Longitude,,,,,,
0,MLR,Traditional,,14,14058.6473,118.5692,-83206.2888,0.9175,Longitude,,,,,,
0,MLR,Traditional,,15,14058.6473,118.5692,-83206.2888,0.9106,Longitude,,,,,,
0,MLR,Traditional,,16,14058.6473,118.5692,-83206.2888,0.9037,Longitude,,,,,,
0,MLR,Traditional,,17,14058.6473,118.5692,-83206.2888,0.9525,Longitude,,,,,,
0,MLR,Traditional,,18,14058.6473,118.5692,-83206.2888,0.9173,Longitude,,,,,,
0,MLR,Traditional,,19,14058.6473,118.5692,-83206.2888,0.8998,Longitude,,,,,,
0,MLR,Traditional,,20,14058.6473,118.5692,-83206.2888,0.9192,Longitude,,,,,,
0,MLR,Traditional,,21,14058.6473,118.5692,-83206.2888,0.9094,Longitude,,,,,,
0,MLR,Traditional,,22,14058.6473,118.5692,-83206.2888,0.9422,Longitude,,,,,,
0,MLR,Traditional,,23,14058.6473,118.5692,-83206.2888,0.9287,Longitude,,,,,,
0,MLR,Traditional,,24,14058.6473,118.5692,-83206.2888,0.9151,Longitude,,,,,,
