,Model Name,Model Type,Shorthand,Iteration,Mean Square Error (Test),Root MSE (Test),R2 Score (Test),Training Time,Target Variable,Mean Square Error (Train),Root MSE (Train),R2 Score (Train),Mean Square Error (Validate),Root MSE (Validate),R2 Score (Validate)
0,Feedforward,Neural Network,FFW,19,0.0111,0.1053,-0.0001,46.2436,Longitude,0.17176204919815063,-0.0001232624053955078,0.4113606810569763,0.17179366946220398,-1.2636184692382812e-05,0.41137656569480896
0,Feedforward,Neural Network,FFW,20,0.0121,0.1101,-0.0001,25.7439,Latitude,0.12570029497146606,-0.00010120868682861328,0.3511369824409485,0.125474214553833,7.748603820800781e-07,0.35056376457214355
0,Feedforward,Neural Network,FFW,20,0.0111,0.1053,-0.0,36.3922,Longitude,0.17155134677886963,-0.00011277198791503906,0.41135847568511963,0.171613872051239,-6.0439109802246094e-05,0.4113864302635193
0,Feedforward,Neural Network,FFW,21,0.0121,0.1101,-0.0,20.914,Latitude,0.12566588819026947,-0.00015056133270263672,0.3511458933353424,0.12537242472171783,-1.430511474609375e-06,0.3505641520023346
0,Feedforward,Neural Network,FFW,21,0.0111,0.1053,-0.0,41.1319,Longitude,0.171494722366333,-0.00012505054473876953,0.41136136651039124,0.1716727912425995,-6.115436553955078e-05,0.4113865792751312
0,Feedforward,Neural Network,FFW,22,0.0121,0.1101,-0.0,40.953,Latitude,0.1257302314043045,-0.00013339519500732422,0.35114288330078125,0.12529505789279938,-0.0005002021789550781,0.3506515622138977
0,Feedforward,Neural Network,FFW,22,0.0111,0.1053,-0.0002,20.7202,Longitude,0.17148274183273315,-0.00012195110321044922,0.4113607108592987,0.17142951488494873,-4.0531158447265625e-06,0.4113748371601105
0,Feedforward,Neural Network,FFW,23,0.0121,0.1101,-0.0001,20.623,Latitude,0.12552188336849213,-8.296966552734375e-05,0.35113391280174255,0.12523506581783295,-8.893013000488281e-05,0.35057950019836426
0,Feedforward,Neural Network,FFW,23,0.0111,0.1053,-0.0001,20.7676,Longitude,0.17165307700634003,-0.00010335445404052734,0.4113568961620331,0.17145420610904694,-9.179115295410156e-06,0.41137588024139404
0,Feedforward,Neural Network,FFW,24,0.0121,0.1101,-0.0,20.588,Latitude,0.1256597638130188,-0.0001480579376220703,0.3511452078819275,0.12555237114429474,-3.314018249511719e-05,0.3505697250366211
0,Feedforward,Neural Network,FFW,24,0.0111,0.1053,-0.0001,20.6837,Longitude,0.17148232460021973,-9.036064147949219e-05,0.411354124546051,0.1714642345905304,-0.0002576112747192383,0.41142696142196655
0,Recurrent,Neural Network,REC,0,0.0122,0.1102,-0.0023,153.8287,Latitude,0.12214792519807816,0.009221035987138748,0.34949666261672974,0.12167171388864517,0.009954742155969143,0.3488147258758545
0,Recurrent,Neural Network,REC,0,0.0104,0.102,0.0605,255.5243,Longitude,0.1608961969614029,0.04905879497528076,0.4011186957359314,0.15911757946014404,0.05974743887782097,0.3988954424858093
0,Recurrent,Neural Network,REC,1,0.0018,0.0419,0.8552,257.4874,Latitude,0.11794544756412506,0.04330773279070854,0.34343186020851135,0.1119784414768219,0.08882834017276764,0.3346318006515503
0,Recurrent,Neural Network,REC,1,0.0021,0.0458,0.8106,256.5715,Longitude,0.06133481487631798,0.6374937891960144,0.24765866994857788,0.060644786804914474,0.6416398286819458,0.2462616264820099
0,Recurrent,Neural Network,REC,2,0.0021,0.0459,0.8259,256.0841,Latitude,0.03331984579563141,0.7297325134277344,0.182537242770195,0.033175431191921234,0.7300511002540588,0.1821412444114685
0,Recurrent,Neural Network,REC,2,0.001,0.0313,0.9116,255.8742,Longitude,0.043137043714523315,0.7450482249259949,0.20769459009170532,0.041802551597356796,0.7529814839363098,0.20445671677589417
0,Recurrent,Neural Network,REC,3,0.0004,0.021,0.9635,255.518,Latitude,0.01652045175433159,0.8659976124763489,0.12853190302848816,0.018052514642477036,0.8531062602996826,0.13435964286327362
0,Recurrent,Neural Network,REC,3,0.0098,0.0992,0.1116,255.6294,Longitude,0.15363812446594238,0.09195535629987717,0.3919669985771179,0.1522325575351715,0.10043231397867203,0.3901699185371399
0,Recurrent,Neural Network,REC,4,0.0065,0.0804,0.4673,255.525,Latitude,0.07045450806617737,0.4285215139389038,0.2654326856136322,0.07051683217287064,0.42620301246643066,0.26555004715919495
0,Recurrent,Neural Network,REC,4,0.0014,0.0377,0.8716,256.312,Longitude,0.03525706008076668,0.7916210889816284,0.18776863813400269,0.03287506848573685,0.8057355880737305,0.18131482601165771
0,Recurrent,Neural Network,REC,5,0.0012,0.035,0.8992,204.7532,Latitude,0.033939093351364136,0.7247099876403809,0.1842256635427475,0.03036559745669365,0.752914309501648,0.1742572784423828
0,Recurrent,Neural Network,REC,5,0.001,0.0317,0.9092,255.9638,Longitude,0.02451654151082039,0.8551004528999329,0.15657758712768555,0.023761291056871414,0.8595907092094421,0.1541469842195511
0,Recurrent,Neural Network,REC,6,0.0004,0.0209,0.964,258.1452,Latitude,0.013605283573269844,0.8896434307098389,0.11664168536663055,0.033033911138772964,0.7312023639678955,0.18175233900547028
0,Recurrent,Neural Network,REC,6,0.0008,0.0288,0.9253,255.737,Longitude,0.01909700222313404,0.8871315121650696,0.13819190859794617,0.02573361247777939,0.847935676574707,0.16041699051856995
0,Recurrent,Neural Network,REC,7,0.0004,0.0209,0.9641,256.0591,Latitude,0.010943408124148846,0.9112347960472107,0.10461074858903885,0.012617354281246662,0.8973321914672852,0.11232699453830719
0,Recurrent,Neural Network,REC,7,0.0007,0.0269,0.9348,256.3934,Longitude,0.014300888404250145,0.9154777526855469,0.11958631873130798,0.014792474918067455,0.9125888347625732,0.12162432074546814
0,Recurrent,Neural Network,REC,8,0.0004,0.0212,0.9631,256.4459,Latitude,0.009474641643464565,0.9231482148170471,0.0973377674818039,0.00894279032945633,0.9272321462631226,0.09456633031368256
0,Recurrent,Neural Network,REC,8,0.0006,0.0244,0.9464,256.255,Longitude,0.01258997991681099,0.9255896210670471,0.11220508068799973,0.012660324573516846,0.9251880049705505,0.11251810938119888
0,Recurrent,Neural Network,REC,9,0.0005,0.0215,0.9617,256.0709,Latitude,0.007758349180221558,0.9370695948600769,0.088081493973732,0.008771324530243874,0.9286274313926697,0.09365534782409668
0,Recurrent,Neural Network,REC,9,0.0008,0.0284,0.9274,256.3165,Longitude,0.01569167524576187,0.9072577953338623,0.1252664178609848,0.015442689880728722,0.9087465405464172,0.12426862120628357
0,Recurrent,Neural Network,REC,10,0.0004,0.0206,0.9649,230.6723,Latitude,0.007610539440065622,0.9382687211036682,0.08723840862512589,0.009752488695085049,0.9206438064575195,0.09875468909740448
0,Recurrent,Neural Network,REC,10,0.0008,0.0287,0.9256,256.6612,Longitude,0.015677480027079582,0.9073418974876404,0.1252097487449646,0.015784459188580513,0.9067268967628479,0.12563621997833252
0,Recurrent,Neural Network,REC,11,0.0008,0.0285,0.933,256.486,Latitude,0.010896471329033375,0.9116155505180359,0.10438616573810577,0.013353661634027958,0.8913410902023315,0.11555804312229156
0,Recurrent,Neural Network,REC,11,0.0006,0.0244,0.9461,206.1598,Longitude,0.012579205445945263,0.9256532788276672,0.11215705424547195,0.01795951835811138,0.8938742280006409,0.1340131312608719
0,Recurrent,Neural Network,REC,12,0.0004,0.0207,0.9646,256.6216,Latitude,0.009645463898777962,0.9217629432678223,0.09821132570505142,0.009565905667841434,0.9221619963645935,0.0978054478764534
0,Recurrent,Neural Network,REC,12,0.0008,0.0285,0.9265,231.2061,Longitude,0.016316788271069527,0.9035633206367493,0.12773717939853668,0.017039107158780098,0.8993130326271057,0.13053393363952637
0,Recurrent,Neural Network,REC,13,0.0004,0.0205,0.9654,232.1693,Latitude,0.009899024851620197,0.9197060465812683,0.0994938462972641,0.01012575812637806,0.9176064729690552,0.10062682628631592
0,Recurrent,Neural Network,REC,13,0.0008,0.0286,0.9262,256.802,Longitude,0.01485051866620779,0.9122292399406433,0.12186270207166672,0.014908723533153534,0.9119018912315369,0.12210128456354141
0,Recurrent,Neural Network,REC,14,0.0004,0.02,0.9669,256.5053,Latitude,0.0076839504763484,0.9376732110977173,0.08765814453363419,0.00822216272354126,0.9330959916114807,0.09067614376544952
0,Recurrent,Neural Network,REC,14,0.0008,0.0285,0.9265,154.0529,Longitude,0.015288266353309155,0.9096421599388123,0.12364573031663895,0.01727597787976265,0.8979132771492004,0.13143812119960785
0,Recurrent,Neural Network,REC,15,0.0005,0.0224,0.9586,256.6012,Latitude,0.008364412933588028,0.9321537613868713,0.09145716577768326,0.008410590700805187,0.9315627813339233,0.09170927107334137
0,Recurrent,Neural Network,REC,15,0.0008,0.0284,0.9274,230.9731,Longitude,0.01427136268466711,0.915652334690094,0.11946281045675278,0.018267128616571426,0.8920564651489258,0.13515594601631165
