,Iteration,Mean Square Error (Test),Root MSE (Test),R2 Score (Test),Training Time,Mean Square Error (Train),Root MSE (Train),R2 Score (Train),Mean Square Error (Validate),Root MSE (Validate),R2 Score (Validate)
count,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
mean,12.0,0.0111,0.1053,-0.00010400000000000001,27.941912000000002,0.17154716372489923,-0.00010504245758053725,0.41135708928108217,0.1715961927175522,-9.651184082030274e-05,0.411393837928772
std,7.359800721939872,0.0,0.0,0.00012409673645990857,9.340189073582327,9.843134068403561e-05,1.950285715378034e-05,4.002537330552174e-06,0.0001520106423440946,0.00013843838832865662,2.846926815379189e-05
min,0.0,0.0111,0.1053,-0.0005,20.6303,0.1713374108076095,-0.0001389980316162,0.4113480746746063,0.1713187247514724,-0.0004899501800537,0.4113743007183075
25%,6.0,0.0111,0.1053,-0.0002,20.7257,0.1714827418327331,-0.0001201629638671,0.4113545715808868,0.1714642345905304,-6.783008575439453e-05,0.4113759100437164
50%,12.0,0.0111,0.1053,-0.0001,20.875,0.1715522557497024,-0.0001065731048583,0.4113573133945465,0.171613872051239,-4.673004150390625e-05,0.4113835990428924
75%,18.0,0.0111,0.1053,0.0,36.662,0.1715814769268036,-9.107589721679688e-05,0.4113599359989166,0.1717288494110107,-9.298324584960938e-06,0.411387950181961
max,24.0,0.0111,0.1053,-0.0,46.2436,0.1717620491981506,-6.16312026977539e-05,0.411364197731018,0.171845868229866,-1.430511474609375e-06,0.411474734544754
