,Iteration,Mean Square Error (Test),Root MSE (Test),R2 Score (Test),Training Time,Mean Square Error (Train),Root MSE (Train),R2 Score (Train),Mean Square Error (Validate),Root MSE (Validate),R2 Score (Validate)
count,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
mean,12.0,0.006684,0.081756,0.396308,47.88997200000001,0.1027639582753181,0.3926368713378906,0.3204418706893921,0.10548822999000546,0.37665231466293336,0.32464966893196107
std,7.359800721939872,0.00041801116412523416,0.002410062239860207,0.03731187165858431,17.59647993848296,0.0061940083507624755,0.03660808410502153,0.009183577759518065,0.006501530651700346,0.03841864321934434,0.009726637550101714
min,0.0,0.0064,0.0801,0.2318,27.8882,0.0992299616336822,0.2287005186080932,0.3150078654289245,0.0981922298669815,0.2334964871406555,0.3133563995361328
25%,6.0,0.0065,0.0805,0.395,28.0332,0.0999054610729217,0.3911112546920776,0.316078245639801,0.1014114320278167,0.3635768890380859,0.3184516131877899
50%,12.0,0.0066,0.0812,0.4048,48.5891,0.1014167144894599,0.4005990624427795,0.3184598982334137,0.1039981544017791,0.3854574561119079,0.3224874436855316
75%,18.0,0.0067,0.0819,0.4154,69.1747,0.1030222624540329,0.4095311164855957,0.3209708034992218,0.1077009588479995,0.400742769241333,0.3281782567501068
max,24.0,0.0085,0.0923,0.421,70.0185,0.1305016130208969,0.4135230183601379,0.3612500727176666,0.1297142803668975,0.4197656512260437,0.3601586818695068
