,Iteration,Mean Square Error (Test),Root MSE (Test),R2 Score (Test),Training Time,Mean Square Error (Train),Root MSE (Train),R2 Score (Train),Mean Square Error (Validate),Root MSE (Validate),R2 Score (Validate)
count,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
mean,12.0,0.00144,0.031512000000000005,0.880624,243.19875999999996,0.023696302976459215,0.807792078256607,0.1338753035664558,0.024603799246251525,0.7997983291372657,0.13856226801872246
std,7.359800721939872,0.0026011215529715896,0.02174893330717624,0.21326512505955272,27.83737039899482,0.03226389656380447,0.261702426466168,0.07755176690586901,0.031147690414860412,0.2534494807291528,0.07502983460573127
min,0.0,0.0004,0.0198,-0.0023,153.8287,0.0064716869965195,0.0092210359871387,0.0804467946290969,0.0069618634879589,0.0099547421559691,0.0834377855062484
25%,6.0,0.0004,0.0206,0.9102,255.518,0.0076839504763484,0.8659976124763489,0.0876581445336341,0.0087713245302438,0.752914309501648,0.0936553478240966
50%,12.0,0.0004,0.0212,0.9631,256.4245,0.0096454638987779,0.9217629432678224,0.0982113257050514,0.010125758126378,0.9176064729690552,0.1006268262863159
75%,18.0,0.0011,0.033,0.9649,256.6012,0.0165204517543315,0.9376732110977172,0.1285319030284881,0.0303655974566936,0.9286274313926696,0.1742572784423828
max,24.0,0.0122,0.1102,0.9677,258.1452,0.1221479251980781,0.9475061893463136,0.3494966626167297,0.1216717138886451,0.9433512091636658,0.3488147258758545
