,Iteration,Mean Square Error (Test),Root MSE (Test),R2 Score (Test),Training Time,Mean Square Error (Train),Root MSE (Train),R2 Score (Train),Mean Square Error (Validate),Root MSE (Validate),R2 Score (Validate)
count,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
mean,12.0,0.00586,0.07640799999999999,0.516908,47.79710400000001,0.060210719704627935,0.5116128563880921,0.24502060532569886,0.0609560570120811,0.5039991021156311,0.24654259920120236
std,7.359800721939872,0.0007382411530116698,0.0043676767279641916,0.06151696188857184,14.088355090004887,0.0074184659737824635,0.06017349006169755,0.013525526018360413,0.0073282950083566,0.05963050507092183,0.013416563046005133
min,0.0,0.0056,0.0746,0.2294,27.6614,0.0579163804650306,0.2279776930809021,0.2406582236289978,0.0564875565469265,0.2292062044143676,0.2376711070537567
25%,6.0,0.0056,0.0751,0.5263,34.803,0.0581894554197788,0.5228107571601868,0.2412248998880386,0.0581770241260528,0.5078459978103638,0.2411991357803344
50%,12.0,0.0057,0.0754,0.5315,48.6902,0.0583862848579883,0.5264115929603577,0.2416325360536575,0.0593356527388095,0.5171843767166138,0.2435891032218933
75%,18.0,0.0057,0.0758,0.5348,55.387,0.0588302202522754,0.5280076265335083,0.2425494194030761,0.0604832917451858,0.5266121625900269,0.2459335178136825
max,24.0,0.0093,0.0967,0.5413,70.1434,0.0951785743236541,0.5302233695983887,0.3085102438926697,0.0947267487645149,0.540359377861023,0.3077771067619324
