,Iteration,Mean Square Error (Test),Root MSE (Test),R2 Score (Test),Training Time,Mean Square Error (Train),Root MSE (Train),R2 Score (Train),Mean Square Error (Validate),Root MSE (Validate),R2 Score (Validate)
count,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
mean,12.0,0.0121,0.11010400000000001,-0.000124,27.455683999999998,0.12562843203544613,-0.000127768516540488,0.3511417877674103,0.1252700304985046,-0.0001327323913574053,0.35058717370033265
std,7.359800721939872,0.0,2.000000000000057e-05,0.00025865034312755125,8.932187244299872,8.903731730278261e-05,2.806311334910626e-05,4.977391432680152e-06,0.00014509636418396065,0.00016885449297768652,2.9589437958560643e-05
min,0.0,0.0121,0.1101,-0.0011,20.4029,0.1254389286041259,-0.000177264213562,0.3511271774768829,0.1249208748340606,-0.0005930662155151,0.3505637645721435
25%,6.0,0.0121,0.1101,-0.0001,20.7284,0.1255768537521362,-0.0001479387283325,0.351138174533844,0.1252193599939346,-0.0002567768096923,0.3505654633045196
50%,12.0,0.0121,0.1101,0.0,20.914,0.1256492137908935,-0.0001335144042968,0.3511428833007812,0.1252541244029998,-5.1021575927734375e-05,0.3505728542804718
75%,18.0,0.0121,0.1101,0.0,36.1305,0.1256757527589798,-0.0001065731048583,0.3511452078819275,0.1253527551889419,-8.821487426757812e-06,0.3506089150905609
max,24.0,0.0121,0.1102,-0.0,45.9164,0.1257871836423874,-4.601478576660156e-05,0.3511504530906677,0.1255523711442947,8.940696716308594e-07,0.3506678342819214
