,Iteration,Mean Square Error (Test),Root MSE (Test),R2 Score (Test),Training Time,Mean Square Error (Train),Root MSE (Train),R2 Score (Train),Mean Square Error (Validate),Root MSE (Validate),R2 Score (Validate)
count,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
mean,12.0,0.001656,0.035744,0.8499840000000001,235.95044000000001,0.03151736948639149,0.8137236043810845,0.1603018489480018,0.03230337616056198,0.8091139085590839,0.16384042441844937
std,7.359800721939872,0.002560611906036003,0.01999483433289708,0.23162160355487857,37.58364635007492,0.039434185308572345,0.2330670971559337,0.07786665438038567,0.038553618463995,0.22781980399729906,0.07541338739395038
min,0.0,0.0006,0.0244,0.0605,128.2466,0.0125792054459452,0.0490587949752807,0.1121570542454719,0.0126603245735168,0.0597474388778209,0.1125181093811988
25%,6.0,0.0008,0.0284,0.9062,231.1306,0.0148505186662077,0.8551004528999329,0.1218627020716667,0.016342619433999,0.847935676574707,0.1278382539749145
50%,12.0,0.0008,0.0286,0.926,255.9638,0.0165563095360994,0.9021477699279784,0.1286713182926178,0.0180898793041706,0.8931037783622742,0.1344986259937286
75%,18.0,0.001,0.0322,0.9274,256.4815,0.0245165415108203,0.9122292399406432,0.1565775871276855,0.0257336124777793,0.9034287333488464,0.1604169905185699
max,24.0,0.0104,0.102,0.9464,256.802,0.1608961969614029,0.9256532788276672,0.4011186957359314,0.159117579460144,0.9251880049705504,0.3988954424858093
