,Iteration,Mean Square Error (Test),Root MSE (Test),R2 Score (Test),Training Time,Mean Square Error (Train),Root MSE (Train),R2 Score (Train),Mean Square Error (Validate),Root MSE (Validate),R2 Score (Validate)
count,25.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,12.0,1149.2467,33.9005,-9357.5436,0.9415160000000001,,,,,,
std,7.359800721939872,0.0,0.0,0.0,0.028310123042238206,,,,,,
min,0.0,1149.2467,33.9005,-9357.5436,0.905,,,,,,
25%,6.0,1149.2467,33.9005,-9357.5436,0.9203,,,,,,
50%,12.0,1149.2467,33.9005,-9357.5436,0.9337,,,,,,
75%,18.0,1149.2467,33.9005,-9357.5436,0.9496,,,,,,
max,24.0,1149.2467,33.9005,-9357.5436,1.0262,,,,,,
